country_label,primary_language,category,name_local,name_english,official_website,confidence,statutory_role,notes
Australia,English,TSO,Australian Energy Market Operator (AEMO),Australian Energy Market Operator (AEMO),https://www.aemo.com.au/,HIGH,"National electricity system and market operator for the NEM; power system security, dispatch and operational planning.",National-level system operator (not a state TNSP).
Australia,English,ElectricityRegulator,Australian Energy Regulator (AER),Australian Energy Regulator (AER),https://www.aer.gov.au/,HIGH,Economic regulator for energy networks and market compliance/enforcement under national energy law (where applicable).,
Australia,English,EnergyMinistry,"Department of Climate Change, Energy, the Environment and Water (DCCEEW)","Department of Climate Change, Energy, the Environment and Water (DCCEEW)",https://www.dcceew.gov.au/,HIGH,Commonwealth department responsible for national energy policy and programs (incl. sustainable energy).,energy.gov.au is a DCCEEW website.
Australia,English,MarketOperator,Australian Energy Market Operator (AEMO),Australian Energy Market Operator (AEMO),https://www.aemo.com.au/,HIGH,Operates wholesale electricity market systems and market-related operational functions in the NEM.,Same institution as TSO; retained due to distinct role.
Australia,English,SystemPlanningBody,Australian Energy Market Operator (AEMO),Australian Energy Market Operator (AEMO),https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp,HIGH,Publishes the Integrated System Plan (ISP) for the NEM under the National Electricity Rules.,Same institution as TSO; retained due to distinct role.
Australia,English,RenewablesAgency,Australian Renewable Energy Agency (ARENA),Australian Renewable Energy Agency (ARENA),https://arena.gov.au/,HIGH,Government agency providing funding/support to accelerate renewable energy and related technologies.,
Australia,English,NuclearAgency,Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),https://www.arpansa.gov.au/,MED,Commonwealth regulator for radiation protection and nuclear safety (incl. licensing of relevant facilities).,Australia has no operating nuclear power plants; ARPANSA regulates nuclear/radiation safety.
Australia,English,TSOAssociation,Energy Networks Australia,Energy Networks Australia,https://www.energynetworks.com.au/,HIGH,Peak industry body representing electricity networks (incl. transmission and distribution).,
Australia,English,EnergyIndustryAssociation,Australian Energy Council,Australian Energy Council,https://www.energycouncil.com.au/,HIGH,Industry association representing major electricity and gas retailers and generators.,
Australia,English,RenewableIndustryAssociation,Clean Energy Council,Clean Energy Council,https://www.cleanenergycouncil.org.au/,HIGH,Peak body for Australia’s clean energy industry (renewables and storage).,
Australia,English,AdvisoryCouncil,Energy and Climate Change Ministerial Council (ECMC),Energy and Climate Change Ministerial Council (ECMC),https://www.energy.gov.au/energy-and-climate-change-ministerial-council,HIGH,Intergovernmental ministerial forum coordinating national energy and climate change reforms and oversight of market institutions.,
Australia,English,EnergyResearchInstitute,CSIRO,CSIRO (Commonwealth Scientific and Industrial Research Organisation),https://www.csiro.au/en/,MED,National science agency conducting energy-related research and innovation programs.,Broad multi-sector research body; included as primary national energy R&D institution.
Brazil,Portuguese,TSO,Operador Nacional do Sistema Elétrico (ONS),National System Operator (ONS),https://www.ons.org.br/,HIGH,Operates and coordinates Brazil’s National Interconnected System (SIN) dispatch and real-time system operation.,
Brazil,Portuguese,ElectricityRegulator,Agência Nacional de Energia Elétrica (ANEEL),Brazilian Electricity Regulatory Agency (ANEEL),https://www.gov.br/aneel/,HIGH,"Federal electricity regulator overseeing concessions, tariffs, regulation and supervision of the electricity sector.",
Brazil,Portuguese,EnergyMinistry,Ministério de Minas e Energia (MME),Ministry of Mines and Energy (MME),https://www.gov.br/mme/,HIGH,"National ministry responsible for energy and mining policy, including electricity sector policy direction.",
Brazil,Portuguese,MarketOperator,Câmara de Comercialização de Energia Elétrica (CCEE),Electricity Commercialization Chamber (CCEE),https://www.ccee.org.br/,HIGH,Operates and administers electricity trading/settlement and market commercialization processes.,
Brazil,Portuguese,SystemPlanningBody,Empresa de Pesquisa Energética (EPE),Energy Research Office (EPE),https://www.epe.gov.br/,HIGH,National energy planning and studies body supporting expansion planning and sector studies.,
Brazil,Portuguese,NuclearAgency,Comissão Nacional de Energia Nuclear (CNEN),National Nuclear Energy Commission (CNEN),https://www.gov.br/cnen/,HIGH,"Federal authority for nuclear safety, safeguards, and regulation of nuclear/radiological activities.",
Brazil,Portuguese,TSOAssociation,Associação Brasileira das Empresas de Transmissão de Energia Elétrica (ABRATE),Brazilian Association of Electric Power Transmission Companies (ABRATE),https://abrate.org.br/,HIGH,Industry association representing major electricity transmission companies.,
Brazil,Portuguese,EnergyIndustryAssociation,Associação Brasileira de Distribuidores de Energia Elétrica (ABRADEE),Brazilian Association of Electricity Distributors (ABRADEE),https://www.abradee.org.br/,HIGH,Industry association representing electricity distribution utilities.,Chosen as primary cross-industry association for regulated electricity networks (distribution).
Brazil,Portuguese,RenewableIndustryAssociation,Associação Brasileira de Energia Solar Fotovoltaica (ABSOLAR),Brazilian Solar Photovoltaic Energy Association (ABSOLAR),https://www.absolar.org.br/,HIGH,Industry association representing the solar PV sector in Brazil.,
Brazil,Portuguese,AdvisoryCouncil,Conselho Nacional de Política Energética (CNPE),National Council for Energy Policy (CNPE),https://www.gov.br/mme/pt-br/assuntos/cnpe,MED,High-level national council advising on energy policy guidelines and priorities.,Council structure and pages can change; website path may vary within MME.
Brazil,Portuguese,EnergyResearchInstitute,Centro de Pesquisas de Energia Elétrica (CEPEL),Electric Energy Research Center (CEPEL),https://www.cepel.br/,MED,"National electricity-sector R&D institute supporting studies, testing and applied research.",
Mexico,Spanish,TSO,Centro Nacional de Control de Energía (CENACE),National Energy Control Center (CENACE),https://www.cenace.gob.mx/,HIGH,Operative control of the Sistema Eléctrico Nacional and dispatch; system operator functions.,
Mexico,Spanish,ElectricityRegulator,Comisión Nacional de Energía (CNE),National Energy Commission (CNE),https://www.gob.mx/cne,HIGH,Federal technical regulator issuing regulations and administrative resolutions and supervising regulated energy activities; successor regulator to CRE.,CRE functions transferred; CNE is sectorized to SENER.
Mexico,Spanish,EnergyMinistry,Secretaría de Energía (SENER),Ministry of Energy (SENER),https://www.gob.mx/sener,HIGH,Federal ministry setting national energy policy and sector planning.,
Mexico,Spanish,MarketOperator,Centro Nacional de Control de Energía (CENACE),National Energy Control Center (CENACE),https://www.cenace.gob.mx/,HIGH,Operates the Mercado Eléctrico Mayorista (wholesale electricity market) and ensures non-discriminatory access to the transmission/distribution networks.,Same institution as TSO; retained due to distinct role.
Mexico,Spanish,SystemPlanningBody,Secretaría de Energía (SENER),Ministry of Energy (SENER),https://www.gob.mx/sener,MED,"Leads national power sector planning instruments (e.g., sector development plans) and policy-driven expansion planning.",Planning responsibilities can be shared with other entities; included as primary national planning authority.
Mexico,Spanish,NuclearAgency,Comisión Nacional de Seguridad Nuclear y Salvaguardias (CNSNS),National Commission for Nuclear Safety and Safeguards (CNSNS),https://www.gob.mx/cnsns,HIGH,Federal nuclear and radiological safety regulator and safeguards authority.,
Mexico,Spanish,EnergyIndustryAssociation,Asociación Mexicana de Energía (AME),Mexican Energy Association (AME),https://www.amenergia.org/,MED,Industry association representing major power generators; policy and sector engagement.,Primary national electricity-generation industry association; coverage is electricity-focused.
Mexico,Spanish,RenewableIndustryAssociation,Asociación Mexicana de Energía Solar (ASOLMEX),Mexican Solar Energy Association (ASOLMEX),https://asolmex.org/,HIGH,Industry association representing the solar energy value chain in Mexico.,
Mexico,Spanish,EnergyResearchInstitute,Instituto Nacional de Electricidad y Energías Limpias (INEEL),National Institute of Electricity and Clean Energies (INEEL),https://www.ineel.mx/,HIGH,National applied research institute for electricity and clean energy technologies.,
Türkiye,Turkish,TSO,Türkiye Elektrik İletim A.Ş. (TEİAŞ),Turkish Electricity Transmission Corporation (TEİAŞ),https://www.teias.gov.tr/en-US,HIGH,National electricity transmission system operator; operates transmission network and system/load dispatch functions.,
Türkiye,Turkish,ElectricityRegulator,Enerji Piyasası Düzenleme Kurumu (EPDK),Energy Market Regulatory Authority (EMRA/EPDK),https://www.epdk.gov.tr/,HIGH,"National energy regulator overseeing electricity market regulation, licensing and supervision.",EPDK is commonly referred to as EMRA in English.
Türkiye,Turkish,EnergyMinistry,T.C. Enerji ve Tabii Kaynaklar Bakanlığı,Republic of Türkiye Ministry of Energy and Natural Resources,https://enerji.gov.tr/republic-of-turkey-ministry-of-energy-and-natural-resources,HIGH,"National ministry responsible for energy policy, strategy and sector oversight.",
Türkiye,Turkish,MarketOperator,Enerji Piyasaları İşletme A.Ş. (EPİAŞ),Energy Exchange Istanbul (EPİAŞ),https://www.epias.com.tr/,HIGH,Operates organized energy markets (electricity and related markets/exchanges).,
Türkiye,Turkish,SystemPlanningBody,Türkiye Elektrik İletim A.Ş. (TEİAŞ),Turkish Electricity Transmission Corporation (TEİAŞ),https://www.teias.gov.tr/en-US,MED,"Carries out nationwide system operation and related planning/operation functions through central and nationwide units, including load dispatch.",Same institution as TSO; retained due to distinct role.
